我和我的祖国	殷秀梅
逛新城	
过河	潘长江 刘春梅
好久没到这方来	
跟你走	廖昌永
好人一生平安	渴望插曲
好运来	
长寿歌	
好运来	
红梅赞	
黄土高坡	
九九女儿红	
九九艳阳天	柳堡的故事插曲
九妹	
军港之夜	
妻子	
千年等一回	新白娘子传奇主题歌
青藏高原	天路片头主题曲
情深深雨蒙蒙	情深深雨蒙蒙主题曲
嫂子颂	赵尚志主题曲
山不转水转	山不转水转主题歌
山路十八弯	
珊瑚颂	红珊瑚选曲
社会主义好	
雾里看花	
希望	大长今主题歌
献给妈妈的歌	德旺乾姆
小白杨	
小城故事	邓丽君
小曲好唱口难开	洪湖赤卫队选曲
看天下劳苦人民都解放	洪湖赤卫队选曲
新康定情歌	
篱笆墙的影子	万梓良
两只蝴蝶	庞龙
浏阳河	朱立奇 齐芝田
妈妈的吻	
没有共产党就没有新中国	 
美酒加咖啡	
母亲	
牡丹之歌	红牡丹插曲
南泥河	郭兰芙
女人是老虎	李娜
